ARS-ID,정류소명
04194,경수중학교
04195,뚝도시장
04196,뚝도시장
04197,성원중성수동이마트앞
04198,성원중성수동이마트앞
04199,서울숲지구대앞
04200,서울숲지구대앞
04201,뚝도시장구길
04202,뚝도시장구길
04203,성수동진주타운
04204,성수동진주타운
04205,영동대교
04206,영동대교
04207,화양사거리
04208,성수사거리.성수초등학교
04209,서울효사랑병원
04210,성수2가3동주민센터
04211,제인병원
04212,성동세무서앞
04213,성동세무서
04214,송정동서울숲아이파크
04215,송정동건영아파트
04216,군자교남단
04217,신답역
04218,용답동.로데오거리.답십리역
04221,서울교통공사.서울새활용플라자
04222,뚝섬서울숲
04223,뚝섬서울숲
04226,사근동하이츠아파트앞
04227,사근동하이츠아파트앞
04228,사근동주민센터
04229,사근동주민센터
04230,사근고개
04231,사근고개
04232,한양지구대
04233,한양지구대
04234,사근동벽산아파트
04236,뚝섬역8번출구
04237,뚝섬역2번출구
04238,뚝섬역5번출구
04239,뚝섬역4번출구
04240,성수역1번출구
04241,성수동SK아파트형공장앞
04242,성수동SK아파트형공장앞
04243,경동초등학교입구
04244,경동초등학교입구
04245,경일초등학교앞
04246,경일초등학교앞
04247,한양여대앞
04252,도선고등학교.꽃재교회
04253,성수역4번출구
04254,리버하우스
04255,리버하우스
04256,성수사거리
04257,성수사거리
04258,성동제일새마을금고
04259,성동제일새마을금고
04261,청계9가.텐즈힐2단지 정문앞
04264,뚝섬서울숲
04265,뚝섬서울숲남문
04266,뚝섬서울숲남문
04267,신답역명문예식장
04268,신답역명문예식장
04269,성수2가3동주민센터
04270,극동그린아파트앞
04271,마장역
04272,행당신동아.행당푸르지오아파트
04273,숭신초등학교
04275,극동아파트
04276,풍림아파트
04277,벽산아파트
04278,대림아파트
04279,행당역
04280,행당역
04281,무학여고
04282,극동그린아파트
04286,성수동차고지
04288,제민약국
04289,왕십리자이.신당현대아파트
04290,왕십리자이.신당현대아파트
04291,제민약국
04293,우리은행화양동지점
04295,황학교.텐즈힐몰
04298,마장동주민센터
04301,왕십리광장.왕십리역7번출구
04302,왕십리광장.왕십리역4번출구
04303,한양대동문앞
04304,왕십리도선동주민센터
04305,한양여대앞
04306,행당중학교
04500,송정동현대아이파크아파트
04501,극동아파트5동
04502,대우아파트관리실
04503,두산아파트정문.금호역
04504,신금호역
04505,옥수역
04506,송정동자치회관
04507,대우아파트후문
04509,금호1가동주민센터
04510,왕십리민자역사
04511,무쇠막
04512,송정어린이집
04513,금옥초등학교입구
04514,대경생활과학고등학교
04515,금북초등학교.e편한세상금호105동
04516,무학여고
04517,힐스테이트서울숲리버
04518,성수SKV1센터1동
04519,극동아파트상가
